t,tau_cmd,tau_meas,q,dq
6.699283936,-1.356088991,-1.273000002,8.447393417,-1.815142393
6.709845630,-1.372627180,-1.292000055,8.412487030,-2.007128716
6.720266753,-1.387997418,-1.292000055,8.395033836,-2.199114799
6.730795864,-1.402559965,-1.292000055,8.360127449,-2.391101122
6.741286077,-1.416092053,-1.329999924,8.325220108,-2.600540638
6.751766519,-1.428628643,-1.329999924,8.290313721,-2.809980154
6.762273552,-1.440202124,-1.386999965,8.255407333,-3.001966238
6.772775532,-1.450766522,-1.386999965,8.220500946,-3.193952560
6.783279730,-1.460322196,-1.386999965,8.185594559,-3.385938644
6.793772770,-1.468851621,-1.368000031,8.133234024,-3.595378160
6.804394655,-1.476445373,-1.424999952,8.098327637,-3.804817677
6.814888564,-1.482914449,-1.424999952,8.045968056,-4.014257431
6.825436793,-1.488377538,-1.368000031,7.993607998,-4.241149902
6.835862799,-1.492749460,-1.406000018,7.941247940,-4.468042850
6.846343673,-1.496111391,-1.406000018,7.888888359,-4.712388992
6.856912918,-1.498450459,-1.462999940,7.836528301,-4.939281940
6.868018746,-1.499769114,-1.386999965,7.766715050,-5.201081276
6.878934035,-1.499926681,-1.386999965,7.696901798,-5.445427418
6.889971963,-1.498938189,-1.406000018,7.644542217,-5.707226753
6.900979734,-1.496803637,-1.444000006,7.574728966,-5.969026089
6.911795833,-1.493590433,-1.406000018,7.487462521,-6.213372231
6.922275998,-1.489424245,-1.406000018,7.417649269,-6.457718372
6.932829710,-1.484184666,-1.424999952,7.347836018,-6.684610844
6.943242032,-1.477992028,-1.444000006,7.278022766,-6.928956985
6.953840541,-1.470649281,-1.462999940,7.190756321,-7.173303127
6.964346785,-1.462340620,-1.424999952,7.103489876,-7.400196075
6.974891229,-1.452976664,-1.386999965,7.016223431,-7.644542217
6.985348861,-1.442681973,-1.424999952,6.928956985,-7.888888359
6.995839332,-1.431353730,-1.444000006,6.841690540,-8.115780830
7.006374663,-1.418975738,-1.386999965,6.754424095,-8.342674255
7.016734081,-1.405834376,-1.386999965,6.667157650,-8.569566727
7.027238423,-1.391536199,-1.329999924,6.562438011,-8.796459198
