t,tau_cmd,tau_meas,tau_pred,q,dq_raw,dq_filt,ddq
1.909140032,-0.661956290,-0.474999994,-0.641055148,10.908308029,3.630284786,4.222414164,-30.232360158
1.919592067,-0.688345208,-0.513000011,-0.684636512,10.943214417,3.298672199,3.901427574,-31.173686892
1.930046387,-0.714472631,-0.569999993,-0.715135418,10.960667610,2.949606419,3.570683882,-31.770557706
1.940612286,-0.740596980,-0.588999987,-0.740891474,10.995573997,2.600540638,3.233573537,-32.240901124
1.951089057,-0.766210941,-0.627000034,-0.759074312,11.013027191,2.251474619,2.892308773,-32.512715866
1.961688818,-0.791821463,-0.627000034,-0.756641214,11.013027191,1.902408838,2.548333272,-32.249107358
1.972669227,-0.818018238,-0.684000015,-0.799917453,11.030481339,1.535889745,2.196524208,-33.164557518
1.983095548,-0.842568917,-0.722000003,-0.854780566,11.030481339,1.169370651,1.839603628,-34.377064717
1.993531213,-0.866815730,-0.740999937,-0.847504326,11.030481339,0.802851439,1.479347665,-33.978550065
2.004008873,-0.890822682,-0.817000031,-0.764173109,11.030481339,0.471238911,1.129044871,-31.616423202
2.014531393,-0.914582709,-0.817000031,-0.630710642,11.030481339,0.226892799,0.815560447,-27.977637509
2.025137097,-0.938166473,-0.817000031,-0.510805372,11.030481339,0.017453292,0.538230084,-24.710995490
2.035504320,-0.960857623,-0.911999941,-0.384710644,11.030481339,-0.157079637,0.296620300,-21.304911644
2.046221740,-0.983929439,-0.893000007,-0.273423227,11.013027191,-0.296705961,0.090448251,-18.302924963
2.057119742,-1.006978199,-0.930999994,-1.084147043,11.013027191,-0.453785598,-0.098664915,-16.846087081
2.067629928,-1.028804353,-0.949999988,-1.046709398,10.995573997,-0.593411922,-0.270582140,-15.776391402
2.078207751,-1.050363265,-0.930999994,-1.008003079,10.995573997,-0.733038306,-0.431278778,-14.680387669
2.089041972,-1.072011812,-0.968999982,-0.990632254,10.978120804,-0.872664630,-0.584653795,-14.141128937
2.099561280,-1.092603420,-0.987999976,-0.989569727,10.960667610,-1.012290955,-0.733251346,-14.026954051
2.110006112,-1.112624249,-1.006999969,-0.984202599,10.943214417,-1.151917338,-0.878731550,-13.803131039
2.120493999,-1.132293666,-1.064000010,-0.980139247,10.943214417,-1.291543603,-1.022177597,-13.614255130
2.130981536,-1.151519939,-1.026000023,-0.976406584,10.908308029,-1.431169987,-1.164296368,-13.434716394
2.141588562,-1.170507522,-1.082999945,-0.979046344,10.890854836,-1.570796371,-1.305549072,-13.420694369
2.151992520,-1.188677096,-1.101999998,-0.979920386,10.873401642,-1.710422635,-1.446236612,-13.361279314
2.162625546,-1.206774316,-1.101999998,-0.982528699,10.855947495,-1.850049019,-1.586555416,-13.346987630
2.173006400,-1.223974746,-1.159000039,-0.986446625,10.821041107,-1.989675403,-1.726633614,-13.366748217
2.183576640,-1.241007407,-1.139999986,-0.999650508,10.803587914,-2.129301786,-1.866554814,-13.627056986
2.193988702,-1.257303576,-1.215999961,-1.022905668,10.768681526,-2.286381245,-2.012438253,-14.144162872
2.204478314,-1.273231395,-1.159000039,-1.036020780,10.751228333,-2.443460941,-2.162212225,-14.396426852
2.214972075,-1.288667465,-1.197000027,-1.050389694,10.716321945,-2.600540638,-2.314524828,-14.679677083
2.225749324,-1.303995682,-1.254000068,-1.080458343,10.681414604,-2.775073528,-2.474558650,-15.364963452
2.236525750,-1.318784670,-1.273000002,-1.115170132,10.646508217,-2.967059612,-2.645695407,-16.164007144
2.247007566,-1.332647373,-1.254000068,-1.141192903,10.611601830,-3.141592741,-2.818012354,-16.737363492
2.257523575,-1.346032538,-1.273000002,-1.165858627,10.576695442,-3.333578825,-2.997164032,-17.271593621
2.268011782,-1.358855548,-1.273000002,-1.173098461,10.524335861,-3.525565147,-3.180775559,-17.351985505
2.278505031,-1.371153255,-1.254000068,-1.179271794,10.489428520,-3.700098038,-3.361232395,-17.406600494
2.288976755,-1.382890981,-1.292000055,-1.194268945,10.437068939,-3.892084122,-3.545695472,-17.687368772
2.299510501,-1.394154641,-1.310999990,-1.216520554,10.402162552,-4.084070683,-3.732772849,-18.154463999
2.310015537,-1.404840228,-1.310999990,-1.242111239,10.349802017,-4.293509960,-3.927620653,-18.703491786
2.320615453,-1.415064009,-1.329999924,-1.255002865,10.297442436,-4.502949238,-4.127538777,-18.920724933
2.331003395,-1.424535298,-1.348999977,-1.266046622,10.245082855,-4.694935799,-4.324700801,-19.091715494
2.341491922,-1.433544165,-1.368000031,-1.290945704,10.175269127,-4.904375076,-4.526128988,-19.618996834
2.351988090,-1.441998673,-1.368000031,-1.307619714,10.122909546,-5.131268024,-4.736405801,-19.928132342
2.362581871,-1.449959463,-1.368000031,-1.311167254,10.070549965,-5.340707302,-4.946391583,-19.897532280
2.373085952,-1.457282021,-1.406000018,-1.331910770,10.000736237,-5.550147057,-5.156187628,-20.312326611
2.383533260,-1.463998351,-1.406000018,-1.342384757,9.930923462,-5.777040005,-5.371924593,-20.457730385
2.394071700,-1.470198086,-1.368000031,-1.347333958,9.861110687,-5.986479282,-5.585473205,-20.461348032
2.404632809,-1.475829164,-1.368000031,-1.361593726,9.791296959,-6.213372231,-5.803658775,-20.703355274
2.415294721,-1.480920735,-1.368000031,-1.364157832,9.721484184,-6.440264702,-6.024869864,-20.640742993
2.426165057,-1.485496051,-1.386999965,-1.380044414,9.651670456,-6.667157650,-6.248055315,-20.921960121
2.436703534,-1.489336318,-1.444000006,-1.390337446,9.564404488,-6.894050598,-6.472529065,-21.057582910
2.447236836,-1.492587458,-1.444000006,-1.389014594,9.494590759,-7.103489876,-6.691778560,-20.895463199
2.458103639,-1.495324906,-1.444000006,-1.400963438,9.407324791,-7.347836018,-6.919748767,-21.071923559
2.468572067,-1.497368714,-1.444000006,-1.411559932,9.320057869,-7.557275772,-7.141279917,-21.217120481
2.479073573,-1.498833197,-1.386999965,-1.404438417,9.232791901,-7.784168243,-7.364674046,-20.902429339
2.489720207,-1.499718409,-1.406000018,-1.393345663,9.145524979,-7.993607998,-7.583219238,-20.487732223
2.500550117,-1.499999194,-1.444000006,-1.413708197,9.058259010,-8.220500946,-7.804665151,-20.885867021
2.511030587,-1.499675776,-1.424999952,-1.438178166,8.970992088,-8.447393417,-8.028003662,-21.389258652
